Num Games, 5

0, Players:, gantry_0, drone_0, quadruped_0, 
, Scores:, 34, 148, 70, , Total Turns: 124, 

1, Players:, gantry_0, quadruped_0, drone_0, 
, Scores:, 35, 167, 50, , Total Turns: 185, 

2, Players:, drone_0, gantry_0, quadruped_0, 
, Scores:, 32, 144, 76, , Total Turns: 126, 

3, Players:, quadruped_0, drone_0, gantry_0, 
, Scores:, 58, 29, 165, , Total Turns: 128, 

