Search Ceiling, 1

n_drones: , 1, n_quadrupeds: , 1, n_gantries: , 1, 
, Id, Score, 
, quadruped_0, 0, 
, drone_0, 0, 
, gantry_0, 0, 
, Total Turns , 0, 

